id,date_time,city,state_id,shape,duration,summary,date_posted
1718,11/25/20 04:45,El paso,TX,Formation,Approx 1min 30 sec,"I was traveling on the 375 freeway in El Paso, south bound when I saw the formation appearing to hover in the south east direction. The",12/23/20
1719,11/24/20 21:30,Stuart,FL,Disk,2 min,95 North Before Exit 101 Stewart Florida,12/23/20
1720,11/24/20 21:15,Orlando,FL,Changing,2 minutes,Orange pulsating light moving up from ground level. Appears to have come from SeaWorld or sea harbor road.Changed shape (I had a se,12/23/20
1721,11/24/20 21:00,Orlando,FL,Oval,30 seconds,Saw an oval shaped craft emerged in fire.,12/23/20
1722,11/24/20 19:18,Fruit Cove,FL,Fireball,5-8 min,You could see the ripple of wind current around it. It glided reminded me of how a jelly fish acts when it swimming threw water. It was,12/23/20
1723,11/24/20 18:42,Rigby,ID,Unknown,45 seconds,"7 distinct bright objects were spotted in the northeast sky, one by one, they disappeared instantaneously.",12/23/20
1724,11/24/20 15:30,Port St. Lucie,FL,Sphere,4 hrs,Light transparent with rings through the center.,12/23/20
1725,11/24/20 06:07,Furlong,PA,,,MADAR Node 38,12/23/20
1726,11/24/20 05:50,Gibson,LA,Cigar,1 minute,The object was approximately 1/8 of a mile long and had a line of non blinking lights. The object was filmed the entire duration of the,12/23/20
1727,11/24/20 05:20,Tampa,FL,Triangle,10 seconds,"Triangle shape object with three lights traveling west, no sound over south Tampa",12/23/20
1728,11/24/20 05:00,Grand Ledge,MI,Chevron,5 seconds,"v shaped object over Grand Ledge, MI",12/23/20
1729,11/24/20 04:45,baton rouge,LA,Other,10 15min,Long skinny no height crystal glass diamond pattern as long as aircraft carrier ufo floating nosound or lights,12/23/20
1730,11/24/20 04:30,Apache Junction,AZ,Disk,2 seconds,White glowing disc flying west to east.,12/23/20
1731,11/24/20 01:45,Carmel,NY,Circle,10 minutes,A flashing circle came back in the sky going back and forth flashing different colors while turning on and off.,12/23/20
1732,11/24/20 00:47,Carmel,NY,Circle,4 minutes,"Bright light flashing multiple colors hovered for about 4 minutes, it did a circle and then took off at an unreal speed.",12/23/20
1733,11/24/20 00:05,Elwood,IN,Sphere,20 minutes,3 disks gathered in the midnight sky,12/23/20
1734,11/23/20 23:30,Buffalo,MN,Formation,2 minutes,Bright lights were seen over central wright county,12/23/20
1735,11/23/20 22:00,St. Augustine,FL,Other,5 seconds,big plus sign object slowly moving then disappeared. Reflecting light on the edges and see through/black. not bright,12/23/20
1736,11/23/20 22:00,Puyallup,WA,Disk,1 hour,A photo of a black and white object in my grandmother's photo album circa early 40's with family dog.,12/23/20
1737,11/23/20 19:15,Stillwater,OK,Circle,4 minutes,5 White Circles Moving in random formation.,12/23/20
1738,11/23/20 18:20,Willinton,CT,Unknown,1 minute,Orange pinkish object flying straight up into sky,12/23/20
